단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSPI200섹터업종,KOSPI100,KOSPI50,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSPI,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
008110,KR7008110009,대동전자,ST,3.0,0,13,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,15040,1,1,Y,N,Y,0,N,N,N,0,0,0,100,N,90,0,500,19900605,10490,5245223500,3.0,,0,,N,N,Y,64,18,65,56,9.04,20240630.0,1577,,N,N,N
008250,KR7008250003,이건산업,ST,3.0,0,7,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,5090,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,4238,5000,19881021,10952,54763175000,12.0,,0,,N,N,Y,1548,51,4,-3,-0.33,20240630.0,557,,N,N,N
008260,KR7008260002,NI스틸,ST,3.0,0,11,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4120,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,22623,500,19750628,28600,14300058500,12.0,,0,,N,N,Y,3829,707,651,502,23.77,20231231.0,1178,,N,N,N
008350,KR7008350001,남선알미늄,ST,3.0,0,11,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1356,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,323469,500,19780522,129079,64539545000,12.0,,0,,N,N,Y,1513,45,96,83,5.36,20240630.0,1750,LB8,N,N,N
008355,KR7008351009,남선알미우,ST,0.0,0,11,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,17800,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,832,500,19891223,307,153945000,12.0,,1,,N,N,N,0,0,0,0,0.0,,54,,N,N,N
008420,KR7008420002,문배철강,ST,3.0,0,11,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2345,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,26964,500,19941105,20503,10251752500,12.0,,0,,N,N,Y,1636,-34,187,186,10.55,20231231.0,480,,N,N,N
008490,KR7008490005,서흥,ST,3.0,0,8,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,16710,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,10141,500,19900327,11569,6084556500,12.0,,0,,N,N,Y,3381,230,164,94,3.25,20240630.0,1933,,N,N,N
008500,KR7008500001,일정실업,ST,3.0,0,6,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,13050,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,3556,5000,19940812,1200,6000000000,12.0,,0,,N,N,Y,231,22,23,23,113.23,20240630.0,156,,N,N,N
008600,KR7008600009,윌비스,ST,3.0,0,16,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,445,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,77686,1000,19890728,67236,72882179000,12.0,,0,,N,N,Y,1156,4,-56,-61,-11.26,20240630.0,299,,N,N,N
008700,KR7008700007,아남전자,ST,3.0,0,13,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1219,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,148133,500,19840811,77124,38562410000,12.0,,0,,N,N,Y,1204,28,31,30,5.39,20240630.0,940,,N,N,N
